CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
50.275.622/0001-09;2026-01-01;1;2026-01-30;81;80;1;;;;;;;;;;;;;;26086125.34;19456293.69;201908.51080513;96.3619295314304;0.0006;0;0.001442;0.001442;0;0
50.352.284/0001-53;2026-01-01;1;2026-01-30;5782;5782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236937706.89;235790107.37;2383522;98.925081;0.001115;0;0;0;0;0
50.375.550/0001-63;2026-01-01;1;2026-01-30;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11718489.44;11003221.58;1683103.41349599;6.53746020106103;0.00434375420439366;0;-0.005163;-0.005163;0;0
50.375.550/0001-63;2026-02-01;1;2026-02-27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11717616.11;10985126.34;1683103.4131795;6.52670908631118;0.00438377570812718;0;-0.001644;-0.001644;0;0
50.385.179/0001-10;2026-01-01;1;2026-01-30;8471;;;;;;;;;;;;;;;;288820678.01;285395241.31;30000000;9.51317471033333;0.001042;0;0.018287;0.008219;0.010068;0
50.399.189/0001-05;2026-01-01;1;2026-01-30;5;;;;;;;;;;;;5;;;;80859828.35;72452880.63;1285088;56.3797036700989;0.0003;0;-0.026101;-0.04063;0.014529;0.064181
50.479.122/0001-80;2026-01-01;2;2026-01-30;19992;19988;1;0;0;0;0;0;0;0;0;0;1;1;0;1;2042841506.61;1422565671.73;135551986;10.494613;0.00074;0;0.016705;0.008463;0.008242;0
50.492.450/0001-17;2026-01-01;1;2026-01-31;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;231810690.75;52172187.45;300000;173.9072915;0.000525;0;0.739188;0.739188;0;0
50.522.058/0001-73;2026-01-01;1;2026-01-30;1344;1344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87494008.05;87315215.83;74340;1174.538819;0.001649;0;0.004102;0.003168;0.000934;0
50.555.700/0001-10;2026-01-01;1;2026-01-31;4;;;;;;;;;;;;;;;;40668022.82;40664128.02;38681895.052866;1.05124446370647;0;;0.014302;0.014302;;
50.659.134/0001-97;2026-01-01;1;2026-01-31;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1297233698.93;260679291.38;1680000;155.166244869048;0.000105;0;0.551732;0.551732;0;0
50.686.473/0001-62;2026-01-01;1;2026-01-30;56;52;2;0;0;0;2;0;0;0;0;0;0;0;0;0;36536555.61;34817695.9;190889.4919;182.39713223;0.000475;0;-0.04661165;-0.04661165;0;0
50.701.686/0001-16;2026-01-01;2;2026-01-30;249;237;3;0;0;0;1;0;1;0;0;0;2;4;1;0;1200457689.51;954074435.69;4893685;194.960329;0.000262;0;0.005421;-0.003724;0.009145;0
50.716.077/0001-30;2026-01-01;1;2026-01-30;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;28520.87;-16344.43;500000005738;0;0;0;-1;-1;0;0
50.718.891/0001-94;2026-01-01;1;2026-01-30;5;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;264883665.98;264733253.28;1435128;184.466649;0.000241;0;0;0;0;0
50.718.976/0001-72;2026-01-01;1;2026-01-30;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;239399587.61;239367985.58;1317717;181.653561;0.00011;0;0;0;0;0
50.750.438/0001-65;2026-01-01;1;2026-01-30;8954;;;;;;;;;;;;;;;;336521682.66;330484088.91;32742817;10.0933309711868;0.001043;0;0.002718;0.002718;0;0
50.808.042/0001-21;2026-01-01;1;2025-12-31;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;476070087.38;475949062.69;3454262;137.78603438;8.3E-05;0;0.00411389;0.00106245;0.00305144;0
50.876.919/0001-11;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;12271700.22;12035371.75;11095.6440709;1084.69338716124;0.000831;0.000166;-0.011987;-0.011987;0;0
50.918.320/0001-01;2026-01-01;1;2026-01-30;6;0;0;;;;;;;;;;;6;;;55409110.85;55379919.13;55920.0001;990.3419;0.000164;0;-0.00092621;-0.00092621;0;0
50.939.923/0001-81;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;12638052;12449052;13338.82034475;933.294825047988;0.00241;0;-0.0069;-0.0069;0;0
50.940.230/0001-09;2026-01-01;1;2026-01-30;1;;;;;;;;;;;;;1;;;8083804.48;7939804.48;19377.06202223;409.752751520906;0.001071;0;-0.002262;-0.002262;0;0
50.957.247/0001-79;2026-01-01;1;2026-01-31;1;;;;;;;;;;;;;;;;764316461.95;744410617.9;593076.13;1255.16873845521;0.000145376634075009;;0.003891;0.003891;;
51.067.062/0001-51;2026-01-01;1;2026-01-30;4;2;;;;;;;;;;;;2;;;805353661.4;605644810.31;42470.90603969;14260.2281605203;4.9E-05;0;0.059335;0.059335;0;0
