CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
49.916.958/0001-16;2026-01-01;1;7343765.43;1000;0;0;7342765.43;150768979.69;0;0;0;0;0;0;0;0;0;0;0;;0;0;38375783.57;0;0;0;0;0;0;;107210062.27;0;;5183133.85;0;0;1617092.96;0;0;1617092.96;1616932.3;157351.3;0;0;0;0;0;0;0;16223.69;1790507.29
49.996.755/0001-87;2026-01-01;1;2306392.19;0;0;;2306392.19;35716339.53;35716339.53;0;35716339.53;0;0;0;;0;;;;;;;;;;;;0;;;;;;;;;384837.26;382500;0;2337.26;0;19000;0;0;0;0;0;0;0;0;19000
50.027.615/0001-80;2026-01-01;1;368.52;368.52;0;0;0;18074512.76;18074038.5;0;0;0;18074038.5;0;0;0;0;0;0;;0;0;474.26;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;405255.36;0;0;0;0;0;0;0;6958.26;412213.62
50.041.467/0001-58;2026-01-01;1;950033.27;719.33;0;0;949313.94;25035000;25035000;0;25035000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;66.5;0;0;66.5;0;855510.38;0;0;0;0;0;0;0;15456.39;870966.77
50.117.874/0001-00;2026-01-01;2;137457.65;137457.65;0;0;0;85036795.32;82116100.01;0;82116100.01;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;2920695.31;0;;0;0;;0;0;0;498422.43;498404.27;0;18.16;0;0;0;0;0;0;0;0;0;4021908.7;4021908.7
50.135.849/0001-40;2026-01-01;1;2235797.48;1000;0;0;2234797.48;87500119.57;0;0;0;0;0;0;0;3573.52;0;0;0;;0;0;85681065.69;0;0;0;0;0;0;;1815480.36;0;;0;0;0;25570.6;0;0;25570.6;0;24701.32;0;0;0;0;0;0;0;6208.25;30909.57
50.143.549/0001-03;2026-01-01;1;4327135.43;0;0;0;4327135.43;84859705.48;0;0;0;0;0;0;0;0;0;0;0;;0;0;42809950.11;0;0;0;0;0;0;;42049755.37;0;;0;0;0;773.82;0;0;773.82;0;63120.68;0;0;0;0;0;0;0;2027379.08;2090499.76
50.180.894/0001-17;2026-01-01;1;8300580.89;1000;0;0;8299580.89;470007625.68;7454291.22;0;7454291.22;0;0;0;0;775642.74;0;0;0;;0;0;220067763.08;0;0;0;94338064.29;0;0;;147371864.35;0;;0;0;0;7292400.86;0;0;7292400.86;5062425.17;708848.14;0;0;0;0;51701428.28;0;0;2966543.54;60439245.13
50.252.286/0001-70;2026-01-01;1;58.13;58.13;0;0;0;7890000;0;0;0;0;0;0;0;7890000;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;669337.02;0;0;0;0;0;0;0;8028137.34;8697474.36
50.275.622/0001-09;2026-01-01;1;9630699.54;219477.26;2333062.05;0;7078160.23;16455425.8;16455425.8;0;16455425.8;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;12000;0;0;0;0;0;0;0;6617831.65;6629831.65
